cpf;curso ;area;unidade;turno;mensalidade;situacao_pgto;forma_pgto;genero;idade;pcd;estagio;dps;pegou_certificado
3228879;tecnico em Direito;juridico;Unidade Norte;Noite;3568;nao pago;1;F;22;sim;nao;DP;nao
3697157;tecnico em Direito;juridico;Unidade Centro;manha;2877;pago;3;M;19;nao;sim;N/DP;sim
3377102;tecnico em Enfermagem;saude;Unidade Centro;Tarde;3170;nao pago;1;F;39;nao;sim;N/DP;sim
4659683;tecnico em nutricao;saude;Unidade Centro;Tarde;1376;nao pago;3;M;42;nao;nao;DP;sim
3067705;tecnico em estatistica;Exatas;Unidade Centro;manha;3082;pago;2;M;34;sim;sim;DP;sim
3560711;tecnico em mediacao legal;juridico;Unidade Norte;Noite;1604;nao pago;3;M;39;nao;nao;N/DP;sim
3397444;tecnico em nutricao;saude;Unidade Norte;Noite;2731;nao pago;1;F;20;sim;nao;N/DP;sim
4768153;tecnico em Direito;juridico;Unidade Norte;Tarde;3002;pago;1;F;28;sim;sim;N/DP;sim
3110992;tecnico em Direito;juridico;Unidade Centro;manha;3685;pago;2;F;27;sim;nao;N/DP;nao
4743862;tecnico em mediacao legal;juridico;Unidade Norte;Noite;2411;nao pago;3;F;24;nao;sim;N/DP;sim
4696652;tecnico em Enfermagem;saude;Unidade Norte;Tarde;2602;pago;1;M;29;sim;nao;N/DP;sim
4342482;tecnico em informatica;Exatas;Unidade Norte;Noite;2938;nao pago;2;M;33;sim;nao;DP;nao
3951457;tecnico em gestao;Exatas;Unidade Norte;manha;3694;pago;1;F;35;nao;sim;DP;nao
3261348;tecnico em informatica;Exatas;Unidade Sul;Tarde;3793;pago;3;F;35;sim;nao;DP;sim
4344532;tecnico em Enfermagem;saude;Unidade Sul;Tarde;2884;nao pago;2;F;28;nao;sim;N/DP;sim
4930620;tecnico em gestao;Exatas;Unidade Centro;Noite;2444;pago;1;M;24;nao;sim;DP;sim
3415083;tecnico em estatistica;Exatas;Unidade Norte;Tarde;2124;pago;1;F;28;sim;sim;DP;sim
3852455;tecnico em Direito;juridico;Unidade Norte;Tarde;2433;nao pago;1;F;22;sim;sim;N/DP;sim
3197376;tecnico em gestao;Exatas;Unidade Norte;Tarde;2067;nao pago;2;M;44;nao;nao;DP;nao
3916970;tecnico em gestao;Exatas;Unidade Centro;Noite;3019;pago;3;F;24;sim;nao;N/DP;nao
4718469;tecnico em informatica;Exatas;Unidade Sul;manha;1652;nao pago;1;M;40;sim;sim;N/DP;nao
3954117;tecnico em nutricao;saude;Unidade Sul;Tarde;3020;pago;1;F;22;sim;sim;N/DP;sim
4739771;tecnico em Direito;juridico;Unidade Norte;manha;3637;nao pago;1;F;45;sim;nao;DP;sim
3420562;tecnico em Enfermagem;saude;Unidade Centro;manha;3035;nao pago;1;F;43;nao;nao;N/DP;sim
3384263;tecnico em nutricao;saude;Unidade Centro;Noite;3342;nao pago;3;M;45;sim;nao;DP;nao
4670890;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;1521;nao pago;1;M;21;nao;nao;DP;sim
4424476;tecnico em informatica;Exatas;Unidade Sul;manha;3213;pago;3;M;19;nao;nao;N/DP;sim
4520799;tecnico em Enfermagem;saude;Unidade Norte;Noite;2170;pago;1;F;20;sim;sim;DP;nao
3094314;tecnico em Enfermagem;saude;Unidade Centro;Tarde;1867;pago;1;F;44;nao;nao;N/DP;nao
3237302;tecnico em Direito;juridico;Unidade Norte;manha;3277;nao pago;2;M;20;sim;nao;N/DP;nao
4983529;tecnico em Enfermagem;saude;Unidade Centro;Tarde;3933;pago;3;F;36;sim;nao;N/DP;sim
4141657;tecnico em Radiologia;saude;Unidade Centro;Tarde;1875;pago;1;F;29;sim;nao;N/DP;sim
4984636;tecnico em gestao;Exatas;Unidade Sul;Noite;2109;pago;3;F;23;nao;nao;N/DP;sim
4237031;tecnico em nutricao;saude;Unidade Sul;Noite;2224;pago;1;M;39;nao;sim;N/DP;nao
4622819;tecnico em Radiologia;saude;Unidade Centro;Tarde;1486;nao pago;3;F;30;nao;sim;DP;sim
3425212;tecnico em Radiologia;saude;Unidade Sul;Tarde;2178;pago;3;F;36;nao;sim;N/DP;sim
4268395;tecnico em Radiologia;saude;Unidade Centro;manha;2932;pago;3;F;31;nao;sim;N/DP;nao
4734349;tecnico em Direito;juridico;Unidade Centro;manha;1609;nao pago;3;M;32;nao;sim;N/DP;sim
4537332;tecnico em nutricao;saude;Unidade Norte;Noite;2871;nao pago;1;F;36;nao;sim;DP;sim
3009344;tecnico em Direito;juridico;Unidade Norte;Noite;3031;pago;2;F;29;sim;nao;N/DP;nao
3856971;tecnico em gestao;Exatas;Unidade Norte;manha;2060;pago;1;F;30;sim;sim;N/DP;nao
3141989;tecnico em gestao;Exatas;Unidade Norte;Tarde;3838;nao pago;1;M;40;sim;sim;N/DP;nao
3225698;tecnico em mediacao legal;juridico;Unidade Norte;Noite;3045;pago;3;M;24;sim;sim;N/DP;nao
4677151;tecnico em Radiologia;saude;Unidade Sul;manha;3882;pago;3;F;21;sim;nao;DP;sim
3317666;tecnico em mediacao legal;juridico;Unidade Centro;Noite;2372;pago;3;F;20;nao;sim;DP;nao
4423981;tecnico em estatistica;Exatas;Unidade Sul;Noite;3277;pago;2;F;22;sim;sim;N/DP;sim
3259521;tecnico em estatistica;Exatas;Unidade Centro;Noite;2928;nao pago;3;F;36;nao;sim;N/DP;sim
3485312;tecnico em mediacao legal;juridico;Unidade Centro;Noite;3742;pago;3;F;30;nao;nao;N/DP;sim
4160875;tecnico em estatistica;Exatas;Unidade Centro;manha;1732;nao pago;3;F;39;sim;sim;DP;sim
3272997;tecnico em Direito;juridico;Unidade Centro;manha;2268;pago;3;F;43;sim;sim;N/DP;sim
3678146;tecnico em Radiologia;saude;Unidade Centro;manha;2413;nao pago;3;F;21;nao;sim;N/DP;nao
3647639;tecnico em nutricao;saude;Unidade Sul;manha;3341;pago;1;M;20;nao;nao;N/DP;sim
3241418;tecnico em informatica;Exatas;Unidade Centro;Tarde;1717;pago;2;M;20;nao;nao;DP;sim
4295834;tecnico em gestao;Exatas;Unidade Centro;manha;1659;nao pago;2;M;33;nao;sim;N/DP;sim
4625849;tecnico em Direito;juridico;Unidade Centro;Noite;3416;pago;1;M;22;nao;nao;N/DP;sim
3181108;tecnico em mediacao legal;juridico;Unidade Norte;manha;2000;pago;1;F;36;sim;sim;DP;sim
3751351;tecnico em nutricao;saude;Unidade Centro;manha;2478;nao pago;1;F;45;sim;sim;DP;nao
4402034;tecnico em Radiologia;saude;Unidade Norte;manha;3570;pago;1;F;23;sim;sim;DP;nao
3054448;tecnico em estatistica;Exatas;Unidade Sul;Noite;2227;pago;1;F;45;sim;nao;DP;sim
3333433;tecnico em Direito;juridico;Unidade Centro;Tarde;3057;pago;2;M;33;nao;nao;N/DP;nao
3124356;tecnico em nutricao;saude;Unidade Sul;Noite;2692;nao pago;2;M;26;nao;nao;N/DP;nao
4701266;tecnico em mediacao legal;juridico;Unidade Sul;Noite;3590;pago;2;F;22;nao;nao;N/DP;sim
4878449;tecnico em Radiologia;saude;Unidade Sul;Tarde;2831;nao pago;3;M;40;nao;nao;N/DP;nao
3173834;tecnico em estatistica;Exatas;Unidade Norte;manha;3036;nao pago;3;F;26;sim;sim;DP;nao
3648795;tecnico em mediacao legal;juridico;Unidade Centro;Noite;3785;pago;3;M;34;nao;sim;DP;nao
3568700;tecnico em gestao;Exatas;Unidade Centro;Noite;1486;pago;1;M;40;nao;nao;N/DP;nao
3954776;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;3356;pago;2;M;44;nao;sim;DP;nao
4266311;tecnico em estatistica;Exatas;Unidade Norte;Noite;1861;nao pago;2;M;32;sim;sim;DP;nao
3269025;tecnico em Direito;juridico;Unidade Sul;Tarde;1787;pago;3;F;18;nao;nao;N/DP;nao
3515849;tecnico em nutricao;saude;Unidade Sul;Tarde;3685;pago;1;M;26;sim;sim;N/DP;sim
4598210;tecnico em nutricao;saude;Unidade Centro;Tarde;1619;nao pago;1;F;23;nao;nao;DP;sim
4017018;tecnico em mediacao legal;juridico;Unidade Sul;manha;2805;nao pago;2;M;20;nao;nao;DP;nao
3598456;tecnico em Direito;juridico;Unidade Norte;Noite;3675;pago;1;F;31;sim;sim;N/DP;nao
4863028;tecnico em informatica;Exatas;Unidade Centro;manha;3141;nao pago;3;M;29;nao;nao;N/DP;nao
3785534;tecnico em estatistica;Exatas;Unidade Sul;Tarde;3323;pago;3;F;42;nao;nao;DP;sim
4775853;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;2613;nao pago;2;F;39;sim;nao;DP;sim
4426044;tecnico em Radiologia;saude;Unidade Norte;Noite;2185;pago;1;F;45;sim;sim;N/DP;nao
3022658;tecnico em Radiologia;saude;Unidade Centro;Noite;1740;pago;1;M;40;nao;nao;N/DP;sim
4147504;tecnico em estatistica;Exatas;Unidade Norte;Tarde;3061;nao pago;2;M;33;sim;nao;N/DP;nao
3172657;tecnico em estatistica;Exatas;Unidade Sul;Noite;1413;nao pago;3;M;39;sim;sim;N/DP;sim
4093188;tecnico em Enfermagem;saude;Unidade Centro;Noite;2172;nao pago;1;M;37;sim;sim;DP;nao
3352794;tecnico em Enfermagem;saude;Unidade Sul;manha;1768;nao pago;3;F;21;sim;nao;N/DP;nao
3433400;tecnico em informatica;Exatas;Unidade Centro;manha;3596;nao pago;2;F;27;sim;sim;DP;sim
4801249;tecnico em nutricao;saude;Unidade Sul;Noite;3924;nao pago;3;M;22;nao;sim;DP;sim
4285569;tecnico em informatica;Exatas;Unidade Sul;Tarde;2718;nao pago;2;M;38;sim;sim;DP;sim
4862630;tecnico em informatica;Exatas;Unidade Norte;manha;3142;pago;1;M;32;sim;sim;N/DP;sim
4937187;tecnico em Direito;juridico;Unidade Sul;Noite;3904;pago;1;F;34;nao;nao;N/DP;nao
3367395;tecnico em mediacao legal;juridico;Unidade Sul;Noite;2424;pago;1;M;44;sim;nao;DP;nao
4123178;tecnico em Direito;juridico;Unidade Sul;Tarde;2594;pago;2;M;31;sim;nao;DP;nao
4296351;tecnico em informatica;Exatas;Unidade Sul;manha;2493;nao pago;3;M;35;nao;nao;DP;sim
4539548;tecnico em estatistica;Exatas;Unidade Sul;manha;3979;nao pago;2;M;38;nao;sim;DP;nao
4325938;tecnico em estatistica;Exatas;Unidade Norte;Noite;1912;nao pago;2;M;20;nao;nao;DP;sim
3216068;tecnico em estatistica;Exatas;Unidade Centro;Tarde;2828;pago;1;F;31;nao;nao;DP;nao
3982268;tecnico em Radiologia;saude;Unidade Sul;Tarde;3091;nao pago;1;M;43;nao;sim;N/DP;sim
3775640;tecnico em Direito;juridico;Unidade Sul;manha;1646;pago;3;M;18;sim;nao;N/DP;nao
4671299;tecnico em nutricao;saude;Unidade Centro;manha;2588;nao pago;3;F;26;sim;sim;DP;sim
3084414;tecnico em informatica;Exatas;Unidade Sul;manha;3165;pago;1;F;22;nao;sim;N/DP;sim
4528335;tecnico em nutricao;saude;Unidade Centro;Noite;1649;pago;1;F;27;nao;nao;DP;sim
3820272;tecnico em mediacao legal;juridico;Unidade Centro;manha;3388;nao pago;1;F;38;sim;sim;DP;nao
4756829;tecnico em mediacao legal;juridico;Unidade Centro;Noite;3802;pago;1;F;39;sim;sim;N/DP;sim
4406482;tecnico em Direito;juridico;Unidade Centro;Tarde;3809;pago;3;M;23;sim;sim;DP;sim
3080624;tecnico em gestao;Exatas;Unidade Norte;manha;3789;nao pago;3;M;30;nao;sim;N/DP;nao
3871188;tecnico em nutricao;saude;Unidade Sul;Tarde;3010;nao pago;3;F;18;nao;nao;DP;sim
3655106;tecnico em nutricao;saude;Unidade Norte;Noite;2207;pago;3;M;42;sim;sim;DP;sim
3428811;tecnico em Direito;juridico;Unidade Norte;Noite;2228;nao pago;2;M;40;sim;sim;N/DP;sim
4870157;tecnico em informatica;Exatas;Unidade Norte;Tarde;1885;pago;1;F;30;nao;sim;N/DP;nao
4883485;tecnico em Radiologia;saude;Unidade Sul;Noite;3965;pago;1;F;24;sim;sim;DP;nao
4301298;tecnico em Enfermagem;saude;Unidade Norte;Tarde;2222;nao pago;3;M;23;sim;nao;N/DP;sim
3454296;tecnico em estatistica;Exatas;Unidade Norte;Noite;2268;pago;2;F;29;nao;nao;DP;nao
4607060;tecnico em informatica;Exatas;Unidade Sul;Tarde;1584;pago;3;F;36;nao;nao;DP;sim
3372928;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;3520;nao pago;2;M;25;sim;nao;DP;nao
4812463;tecnico em informatica;Exatas;Unidade Centro;manha;3971;nao pago;3;M;29;sim;sim;N/DP;sim
3579039;tecnico em gestao;Exatas;Unidade Norte;Tarde;1825;pago;3;M;30;sim;sim;DP;sim
3248620;tecnico em gestao;Exatas;Unidade Centro;Tarde;1811;nao pago;2;M;40;nao;sim;DP;sim
3948269;tecnico em Enfermagem;saude;Unidade Centro;Noite;1486;nao pago;3;F;33;nao;sim;N/DP;nao
4801357;tecnico em mediacao legal;juridico;Unidade Centro;manha;2399;nao pago;1;M;33;sim;sim;DP;sim
3461988;tecnico em nutricao;saude;Unidade Sul;manha;2951;pago;3;F;27;nao;nao;N/DP;nao
3976934;tecnico em nutricao;saude;Unidade Sul;Tarde;2389;nao pago;2;F;28;nao;sim;N/DP;nao
4067545;tecnico em informatica;Exatas;Unidade Sul;Tarde;2997;nao pago;2;F;29;nao;sim;N/DP;sim
3466038;tecnico em gestao;Exatas;Unidade Norte;Tarde;3898;pago;2;M;27;sim;sim;N/DP;nao
3595843;tecnico em Direito;juridico;Unidade Centro;manha;2483;pago;3;M;21;nao;sim;DP;nao
3108827;tecnico em mediacao legal;juridico;Unidade Norte;manha;1743;pago;2;M;34;nao;sim;DP;nao
3208828;tecnico em Radiologia;saude;Unidade Norte;Tarde;1813;nao pago;3;F;19;nao;nao;DP;sim
3295489;tecnico em estatistica;Exatas;Unidade Norte;Tarde;2649;nao pago;2;F;21;sim;nao;N/DP;sim
4101388;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;3705;nao pago;3;F;30;nao;nao;N/DP;sim
4932896;tecnico em Radiologia;saude;Unidade Centro;Tarde;2889;nao pago;1;M;18;sim;sim;DP;sim
3885656;tecnico em nutricao;saude;Unidade Norte;Noite;1932;pago;2;F;37;nao;sim;N/DP;nao
3697679;tecnico em Radiologia;saude;Unidade Norte;Tarde;3428;pago;1;F;19;sim;sim;N/DP;sim
4746906;tecnico em informatica;Exatas;Unidade Sul;Noite;3953;pago;3;F;34;sim;nao;DP;sim
4311987;tecnico em mediacao legal;juridico;Unidade Norte;Noite;2173;pago;1;F;35;nao;sim;N/DP;sim
3369366;tecnico em Radiologia;saude;Unidade Sul;Tarde;1896;nao pago;2;M;43;nao;nao;DP;sim
3156793;tecnico em gestao;Exatas;Unidade Centro;manha;2704;nao pago;1;F;31;nao;sim;N/DP;nao
3065662;tecnico em Enfermagem;saude;Unidade Sul;Tarde;3276;pago;2;M;36;sim;nao;N/DP;nao
3570712;tecnico em estatistica;Exatas;Unidade Norte;Noite;1546;nao pago;3;M;35;nao;sim;N/DP;sim
4688627;tecnico em mediacao legal;juridico;Unidade Centro;manha;3315;nao pago;1;F;19;sim;sim;N/DP;sim
3290744;tecnico em estatistica;Exatas;Unidade Sul;Noite;1577;pago;3;M;41;sim;sim;DP;sim
4609300;tecnico em Direito;juridico;Unidade Norte;Tarde;1611;nao pago;1;M;41;sim;sim;N/DP;sim
4447365;tecnico em gestao;Exatas;Unidade Centro;manha;3926;pago;2;M;40;nao;nao;DP;nao
4263556;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;3659;pago;1;M;34;sim;sim;N/DP;nao
4382685;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;2279;pago;2;F;38;nao;nao;N/DP;nao
4712690;tecnico em estatistica;Exatas;Unidade Norte;manha;3376;pago;1;F;29;sim;nao;N/DP;sim
4107552;tecnico em gestao;Exatas;Unidade Sul;Noite;1333;nao pago;3;M;38;sim;nao;DP;nao
3932841;tecnico em estatistica;Exatas;Unidade Centro;manha;2620;nao pago;3;M;21;sim;sim;DP;sim
3118771;tecnico em nutricao;saude;Unidade Norte;Noite;2349;nao pago;2;M;26;nao;nao;DP;sim
3417747;tecnico em gestao;Exatas;Unidade Sul;Tarde;2274;pago;3;F;42;sim;sim;N/DP;nao
3173903;tecnico em informatica;Exatas;Unidade Norte;Noite;1460;nao pago;1;M;19;sim;nao;DP;nao
3576088;tecnico em Direito;juridico;Unidade Sul;manha;2953;nao pago;3;M;27;sim;nao;N/DP;sim
3287265;tecnico em Enfermagem;saude;Unidade Centro;Noite;3300;pago;3;M;43;nao;sim;DP;nao
3606892;tecnico em mediacao legal;juridico;Unidade Norte;manha;3678;pago;2;F;41;nao;nao;N/DP;sim
4610992;tecnico em estatistica;Exatas;Unidade Norte;Noite;2747;pago;1;M;18;sim;nao;N/DP;sim
4017756;tecnico em Enfermagem;saude;Unidade Centro;Noite;3320;pago;1;M;44;nao;sim;DP;nao
4488623;tecnico em nutricao;saude;Unidade Sul;manha;2313;pago;1;F;44;nao;nao;DP;nao
4630416;tecnico em Radiologia;saude;Unidade Centro;Noite;3694;nao pago;2;M;18;sim;sim;N/DP;sim
3570857;tecnico em gestao;Exatas;Unidade Centro;Tarde;3063;pago;1;F;21;nao;nao;N/DP;sim
4794018;tecnico em Direito;juridico;Unidade Centro;Tarde;3953;pago;3;F;27;sim;nao;DP;sim
3018666;tecnico em Enfermagem;saude;Unidade Norte;Tarde;3228;nao pago;3;M;21;sim;sim;N/DP;nao
4535413;tecnico em Direito;juridico;Unidade Norte;manha;3329;pago;2;M;23;sim;nao;DP;sim
3396430;tecnico em gestao;Exatas;Unidade Sul;manha;3679;nao pago;2;F;31;nao;sim;N/DP;nao
4838558;tecnico em informatica;Exatas;Unidade Norte;manha;3418;nao pago;3;F;28;nao;sim;N/DP;nao
4435281;tecnico em informatica;Exatas;Unidade Sul;Tarde;2250;pago;2;F;41;nao;nao;N/DP;nao
3222894;tecnico em Radiologia;saude;Unidade Centro;Tarde;2237;pago;2;M;32;nao;sim;N/DP;sim
4508043;tecnico em gestao;Exatas;Unidade Centro;manha;3108;pago;1;M;38;sim;nao;DP;sim
3625296;tecnico em estatistica;Exatas;Unidade Norte;Tarde;2116;pago;2;F;43;sim;sim;N/DP;sim
3672629;tecnico em informatica;Exatas;Unidade Sul;Tarde;2121;pago;3;M;38;sim;sim;DP;nao
4675256;tecnico em nutricao;saude;Unidade Norte;manha;1787;nao pago;3;F;41;nao;nao;N/DP;sim
4958116;tecnico em Direito;juridico;Unidade Centro;Tarde;3558;pago;1;M;24;nao;nao;N/DP;nao
4586635;tecnico em Enfermagem;saude;Unidade Centro;Tarde;1933;nao pago;2;F;44;sim;sim;DP;sim
4256320;tecnico em informatica;Exatas;Unidade Centro;Tarde;1459;nao pago;2;F;20;nao;nao;DP;sim
4439293;tecnico em Direito;juridico;Unidade Sul;manha;2023;nao pago;2;M;31;sim;nao;DP;sim
4128237;tecnico em Enfermagem;saude;Unidade Centro;Noite;3491;pago;3;F;31;sim;sim;DP;sim
3462062;tecnico em estatistica;Exatas;Unidade Norte;Tarde;1849;nao pago;3;M;39;nao;sim;N/DP;sim
4806583;tecnico em Direito;juridico;Unidade Sul;manha;2094;pago;2;F;31;sim;nao;N/DP;sim
3363584;tecnico em Direito;juridico;Unidade Norte;manha;2893;nao pago;2;F;21;sim;nao;DP;sim
3001571;tecnico em estatistica;Exatas;Unidade Norte;Tarde;3973;nao pago;1;M;30;sim;nao;N/DP;nao
4444395;tecnico em Direito;juridico;Unidade Sul;Noite;1744;pago;1;F;34;sim;sim;N/DP;sim
4612763;tecnico em gestao;Exatas;Unidade Centro;Tarde;3443;nao pago;1;M;37;sim;sim;DP;sim
4072809;tecnico em estatistica;Exatas;Unidade Centro;Tarde;3226;pago;2;M;34;nao;nao;DP;sim
3719602;tecnico em nutricao;saude;Unidade Sul;Noite;2334;nao pago;2;M;43;nao;sim;DP;nao
3229130;tecnico em Direito;juridico;Unidade Centro;Noite;3321;nao pago;2;M;19;nao;sim;DP;sim
3266553;tecnico em Enfermagem;saude;Unidade Centro;Noite;3636;nao pago;2;F;44;nao;nao;N/DP;nao
4491632;tecnico em Radiologia;saude;Unidade Sul;Tarde;3935;pago;2;M;26;sim;sim;DP;sim
4676899;tecnico em Enfermagem;saude;Unidade Sul;Noite;1619;pago;3;M;41;nao;sim;DP;sim
3488960;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;3776;nao pago;1;F;39;nao;nao;N/DP;nao
4897648;tecnico em Enfermagem;saude;Unidade Centro;manha;2564;pago;2;F;25;sim;sim;N/DP;nao
3890578;tecnico em Direito;juridico;Unidade Sul;Tarde;2067;nao pago;2;M;45;sim;nao;DP;sim
4516699;tecnico em nutricao;saude;Unidade Norte;Noite;2086;pago;2;M;21;sim;sim;DP;nao
3096847;tecnico em gestao;Exatas;Unidade Norte;Noite;1300;nao pago;3;F;34;nao;sim;DP;sim
4307704;tecnico em Radiologia;saude;Unidade Centro;manha;2660;pago;2;F;42;sim;sim;DP;sim
4738827;tecnico em informatica;Exatas;Unidade Centro;Tarde;3151;pago;3;F;20;nao;nao;N/DP;nao
4064614;tecnico em nutricao;saude;Unidade Centro;manha;3288;nao pago;1;F;31;sim;nao;DP;sim
4356530;tecnico em Enfermagem;saude;Unidade Sul;Noite;2932;nao pago;2;F;44;nao;nao;N/DP;sim
4665578;tecnico em informatica;Exatas;Unidade Centro;Noite;3636;pago;2;F;23;nao;nao;N/DP;sim
4938394;tecnico em Radiologia;saude;Unidade Centro;manha;2828;pago;1;F;29;nao;sim;DP;nao
3358003;tecnico em informatica;Exatas;Unidade Sul;Noite;2004;pago;2;M;26;nao;sim;DP;nao
4104113;tecnico em Enfermagem;saude;Unidade Norte;Noite;1309;pago;1;F;20;nao;sim;DP;sim
4315440;tecnico em nutricao;saude;Unidade Norte;Tarde;2864;pago;1;F;24;sim;sim;DP;sim
4476872;tecnico em estatistica;Exatas;Unidade Norte;manha;3684;nao pago;3;M;31;nao;nao;N/DP;nao
4378726;tecnico em Radiologia;saude;Unidade Norte;manha;3066;pago;3;M;35;sim;sim;N/DP;sim
4542342;tecnico em nutricao;saude;Unidade Sul;Tarde;2601;pago;1;M;45;sim;nao;DP;sim
3968055;tecnico em gestao;Exatas;Unidade Centro;Tarde;3494;nao pago;3;M;19;sim;sim;DP;nao
3152170;tecnico em estatistica;Exatas;Unidade Sul;manha;3141;pago;3;F;31;nao;sim;N/DP;nao
3502031;tecnico em estatistica;Exatas;Unidade Centro;manha;3254;nao pago;1;F;45;sim;sim;DP;sim
3420588;tecnico em nutricao;saude;Unidade Centro;Noite;1908;nao pago;2;M;32;sim;sim;DP;sim
3506263;tecnico em informatica;Exatas;Unidade Centro;Noite;2972;pago;1;M;36;nao;sim;N/DP;sim
4561779;tecnico em gestao;Exatas;Unidade Centro;manha;3263;nao pago;3;M;39;sim;sim;DP;sim
4507485;tecnico em mediacao legal;juridico;Unidade Sul;Noite;2208;nao pago;3;M;21;nao;nao;N/DP;nao
4189398;tecnico em Radiologia;saude;Unidade Norte;manha;2476;pago;1;M;19;sim;nao;DP;sim
4389264;tecnico em informatica;Exatas;Unidade Norte;Noite;3339;pago;2;M;40;sim;sim;N/DP;sim
3052557;tecnico em nutricao;saude;Unidade Centro;Tarde;3930;nao pago;1;F;31;sim;nao;N/DP;nao
4626540;tecnico em gestao;Exatas;Unidade Sul;Tarde;1946;pago;2;M;23;sim;sim;DP;sim
3246865;tecnico em Radiologia;saude;Unidade Sul;manha;1592;nao pago;2;F;43;nao;nao;N/DP;nao
3640090;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;1498;pago;3;M;41;sim;nao;N/DP;sim
3679017;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;2456;pago;1;M;32;nao;nao;N/DP;nao
4035803;tecnico em Enfermagem;saude;Unidade Norte;Tarde;1595;pago;3;F;28;nao;nao;N/DP;nao
4666112;tecnico em mediacao legal;juridico;Unidade Centro;Noite;2783;pago;1;F;38;sim;nao;DP;nao
4344094;tecnico em informatica;Exatas;Unidade Norte;manha;2841;pago;3;M;44;nao;sim;N/DP;nao
3993055;tecnico em Radiologia;saude;Unidade Sul;Tarde;3165;pago;3;F;40;nao;sim;DP;sim
3422991;tecnico em informatica;Exatas;Unidade Sul;Noite;3317;nao pago;2;M;43;sim;nao;DP;nao
3958185;tecnico em Radiologia;saude;Unidade Centro;Tarde;2199;pago;1;M;19;sim;nao;N/DP;sim
4453274;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;3122;pago;1;M;20;sim;nao;DP;nao
3340347;tecnico em Direito;juridico;Unidade Sul;Noite;2678;nao pago;1;M;33;sim;nao;DP;sim
4129382;tecnico em Direito;juridico;Unidade Sul;Tarde;2139;pago;2;F;35;sim;nao;DP;nao
4478790;tecnico em Direito;juridico;Unidade Sul;manha;3056;pago;1;M;31;nao;sim;N/DP;nao
4895757;tecnico em Radiologia;saude;Unidade Centro;Noite;2361;nao pago;2;F;32;nao;sim;DP;sim
3829046;tecnico em Enfermagem;saude;Unidade Centro;manha;3828;pago;2;F;28;sim;nao;DP;nao
3938393;tecnico em mediacao legal;juridico;Unidade Centro;manha;3377;pago;3;F;27;nao;nao;N/DP;nao
3202382;tecnico em Direito;juridico;Unidade Sul;Tarde;1371;nao pago;1;F;41;sim;sim;N/DP;sim
4121252;tecnico em Enfermagem;saude;Unidade Norte;Noite;3791;pago;1;F;43;sim;sim;DP;sim
3514888;tecnico em nutricao;saude;Unidade Sul;Tarde;1885;nao pago;2;F;40;sim;sim;N/DP;sim
3510804;tecnico em informatica;Exatas;Unidade Norte;Noite;3597;nao pago;1;F;33;nao;nao;N/DP;nao
4290585;tecnico em informatica;Exatas;Unidade Sul;manha;2492;pago;2;F;23;nao;sim;DP;sim
3592414;tecnico em mediacao legal;juridico;Unidade Sul;Noite;2485;nao pago;3;M;27;nao;nao;N/DP;nao
4245477;tecnico em informatica;Exatas;Unidade Norte;Noite;1331;pago;2;F;27;nao;sim;DP;sim
4617043;tecnico em nutricao;saude;Unidade Sul;Noite;2010;pago;3;M;18;sim;sim;DP;sim
4669431;tecnico em gestao;Exatas;Unidade Centro;manha;3809;pago;3;M;19;sim;sim;DP;sim
3187584;tecnico em gestao;Exatas;Unidade Centro;manha;2652;nao pago;1;M;42;sim;sim;N/DP;sim
3509517;tecnico em informatica;Exatas;Unidade Norte;Tarde;1784;nao pago;2;M;38;sim;sim;DP;nao
3757116;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;2734;pago;1;F;23;nao;nao;N/DP;sim
4717630;tecnico em mediacao legal;juridico;Unidade Sul;Noite;3031;nao pago;2;F;45;nao;sim;DP;sim
4553475;tecnico em nutricao;saude;Unidade Centro;manha;1456;nao pago;3;F;38;sim;sim;DP;nao
4302955;tecnico em Enfermagem;saude;Unidade Norte;Noite;2105;nao pago;3;M;29;nao;nao;N/DP;sim
3446536;tecnico em estatistica;Exatas;Unidade Norte;Noite;2341;nao pago;2;F;25;nao;nao;N/DP;nao
4836483;tecnico em gestao;Exatas;Unidade Norte;manha;3660;nao pago;1;M;31;sim;nao;DP;nao
4500382;tecnico em gestao;Exatas;Unidade Centro;Noite;1339;pago;3;M;19;nao;sim;N/DP;sim
3983363;tecnico em nutricao;saude;Unidade Sul;manha;3727;nao pago;1;F;23;nao;nao;N/DP;nao
3615915;tecnico em informatica;Exatas;Unidade Sul;Tarde;1705;nao pago;3;M;18;sim;sim;N/DP;sim
3683921;tecnico em nutricao;saude;Unidade Norte;Tarde;2823;nao pago;2;F;23;sim;nao;DP;sim
